who,zone_item,x,y,zone,height,area,cleanable,equipment,part,out_links,in_links,undirected_links,max-contam-bout,contacts,transfers,food,zone_4,random
181,employee,75,35,1,120,156.25,TRUE,tray-packing,,1,1,1,0,0,0,0,0,0
182,employee,103,35,3,185,156.25,TRUE,workstation,,0,0,2,0,0,0,0,0,0
183,employee,110,37,1,185,156.25,TRUE,sorting,,1,1,0,0,0,0,0,0,0
184,employee,110,40,1,185,156.25,TRUE,sorting,,1,1,0,0,0,0,0,0,0
185,floor-crack,117,36,3,0,40,TRUE,crack,,0,0,0,0,0,0,0,0,0
186,shovel,44,48,2,0,1393.54,FALSE,loading,,0,0,1,143,6,6,0,0,0
187,pressure-washer-frame,46,48,2,70,12000,FALSE,cleaning,,0,0,0,0,0,0,0,0,0
188,bin-filler-car,19,35,2,30,10000,FALSE,reject,,0,0,4,48,8,87,0,0,0
189,bin-car-juncture,19,35,2,1,150,FALSE,reject,,0,0,1,1,2,2,0,0,0
190,main-drain-overflow-juncture,52,51,2,100,150,FALSE,loading,surrounding-parts,0,1,0,0,2,0,0,0,0
191,hot-room-flaps,118,51,2,120,1750,FALSE,drying,,0,0,1,0,0,0,0,0,0
192,floormat,57,53,2,0,1250,FALSE,cleaning,floor,0,0,0,0,0,0,0,0,0
193,floormat,57,49,2,0,1250,FALSE,cleaning,floor,0,0,0,0,0,0,0,0,0
194,flume-support-beam-lip-underneath,38,51,2,50,2000,FALSE,loading,surrounding-parts,0,0,1,0,0,0,0,0,0
195,flume-support-beam-sandwich-juncture,38,51,2,50,25,FALSE,loading,surrounding-parts,0,0,1,0,0,0,0,0,0
196,railing-interior-by-rollers,56,49,2,100,10,FALSE,cleaning,,0,0,1,0,0,10,0,0,0
197,outlet-pvc,45,51,2,50,125,FALSE,loading,surrounding-parts,0,0,1,0,1,7,0,0,0
198,yellow-sandwich-juncture-bin-fillers,16,31,2,90,100,FALSE,reject,,0,0,1,192,9,8,0,0,0
199,stool,103,35,2,64,900,FALSE,tray-packing,,0,0,1,0,0,0,0,0,0
200,floormat,110,37,2,64,1250,FALSE,sorting,,0,0,0,0,0,0,0,0,0
201,qc-table,70,1,2,90,9000,FALSE,qc,,0,0,0,0,0,0,0,0,0
202,monorail-pan-17,42,31,2,1,450,FALSE,tray-packing,,0,0,0,0,0,0,0,0,0
203,red-pallet-jack,1,40,2,100,600,FALSE,reject,,0,0,0,0,0,0,0,0,0
204,under-cable-conduit-by-rollers,62,51,2,140,100,FALSE,cleaning,,0,0,1,0,0,0,0,0,0
205,brooms-by-wet-rollers,65,53,2,0,40,FALSE,cleaning,,0,0,0,0,0,0,0,0,0
206,trench-drain-drying,90,51,3,0,42000,TRUE,drying,,0,1,1,0,0,0,0,0,0
207,chemical-dolley,44,49,2,100,1500,TRUE,loading,surrounding-parts,0,0,0,0,0,0,0,0,0
208,gray-roller-tape,113,40,1,160,250,TRUE,sorting,,0,0,2,0,0,0,0,0,0
209,return-belt-motor,104,40,2,60,100,FALSE,sorting,,0,0,1,0,0,0,0,0,0
210,compact-trolley-mat,77,40,2,111,16250,FALSE,sorting,,0,0,1,0,0,0,0,0,0
211,under-sizer-platform,105,40,2,80,600,FALSE,sorting,,0,0,0,0,0,0,0,0,0
212,blue-brush-drop,104,40,1,140,4500,TRUE,sorting,,1,1,0,0,0,0,0,0,0
213,floormat,110,40,3,64,1250,FALSE,sorting,,0,0,0,0,0,0,0,0,0
214,light-stand,112,40,2,100,2700,FALSE,sorting,,0,0,1,0,0,0,0,0,0
215,box-lift,78,32,2,100,2500,FALSE,overflow-packing,,0,0,0,0,0,0,0,0,0
216,wooden-box-stand,72,44,2,100,8400,FALSE,tray-packing,,0,0,0,0,0,0,0,0,0
217,drain-by-dry-rollers,107,40,3,0,50,TRUE,sorting,,0,0,0,0,0,0,0,0,0
218,tray-trash-dolley,57,44,2,0,1500,TRUE,tray-packing,,0,0,0,0,0,0,0,0,0
219,bin-filler-platform,17,28,2,90,22500,TRUE,reject,,0,0,0,0,0,0,0,0,0
220,bin-filler-control-panel,17,35,2,100,1600,FALSE,reject,,0,0,0,0,0,0,0,0,0
221,dls-taper-support,73,31,2,75,625,FALSE,tray-packing,,0,0,0,0,0,0,0,0,0
222,return-belt,104,40,1,60,2500,TRUE,sorting,belt,1,1,1,0,0,0,0,0,0
223,flume-exterior,21,51,2,130,236250,TRUE,loading,flume,1,0,4,147,31,64,0,0,0
224,flume-support-frame,21,51,3,110,236250,TRUE,loading,flume,0,0,3,0,9,11,0,0,0
